Identifier,Type,Contract number,Registration Doc,Identifier for schedule,Make and Model,Agreement Start Date,Agreement term (months),Agreement end date,Net Capital,VAT on Acquisition,RFL,Capital Cost,Arrangement Fee,Finance Interest,Initial Payment,Monthly Installment,Final Payment,Total Repayment,Check
HSBC 21,Equipment,309163,332845,Equipment,Hydro Power Jetting Unit,10 September 2022,20.0,01 April 2024,17871.24,3574.25,0.0,42890.98,50.0,1698.46,8908.62,1784.04,,35680.8,0.02
HSBC 21,Motor Vehicle,309330,LJ22 EXF,LJ22 EXF,Rioned Riocom 7.5t Jetvac,26 October 2022,60.0,26 October 2027,117995.0,23599.0,0.0,141594.0,50.0,15429.9,35398.5,2027.09,,157023.9,0.0
HSBC 21,Motor Vehicle,312012,BK21EVV,BK21EVV,Peugeot Expert L2H1 Van 332,19 November 2022,48.0,19 November 2026,26766.41,5353.28,0.0,32119.69,50.0,24530.63,39868.37,3667.3,,215898.77,-0.01
HSBC 21,Motor Vehicle,312012,BK21KDO,BK21KDO,Peugeot Expert L2H1 Van 334,19 November 2022,48.0,19 November 2026,26566.41,5313.28,0.0,31879.69,50.0,24530.63,39868.37,3667.3,,215898.77,-0.01
HSBC 21,Motor Vehicle,312012,BK21EUV,BK21EUV,Peugeot Expert L2H1 Van 333,19 November 2022,48.0,19 November 2026,26366.41,5273.28,0.0,31639.69,50.0,24530.63,39868.37,3667.3,,215898.77,-0.01
HSBC 21,Motor Vehicle,312012,BK21EBF,BK21EBF,Peugeot Expert L2H1 Van 335,19 November 2022,48.0,19 November 2026,26566.41,5313.28,0.0,31879.69,50.0,24530.63,39868.37,3667.3,,215898.77,-0.01
HSBC 21,Motor Vehicle,312012,BK21DZO,BK21DZO,Peugeot Expert L2H1 Van 337,19 November 2022,48.0,19 November 2026,26766.41,5353.28,0.0,32119.69,50.0,24530.63,39868.37,3667.3,,215898.77,-0.01
HSBC 21,Motor Vehicle,312012,BK21XFR,BK21XFR,Peugeot Expert L2H1 Van 336,19 November 2022,48.0,19 November 2026,26441.41,5288.28,0.0,31729.69,50.0,24530.63,39868.37,3667.3,,215898.77,-0.01
HSBC 21,Motor Vehicle,313703,LB22 AYU,LB22 AYU,Renault Traffic LL30 Sport Blue DC Van with Hydro Power Supplies,20 January 2023,48.0,20 January 2027,51256.28,10251.26,0.0,61507.54,50.0,29370.8,51256.28,4669.68,,275400.92,-0.02
HSBC 21,Motor Vehicle,313703,LF72 EPD,LF72 EPD,Renault Traffic LL30 Sport Blue DC Van with Hydro Power Supplies,20 January 2023,48.0,20 January 2027,51256.28,10251.26,0.0,61507.54,50.0,29370.8,51256.28,4669.68,,275400.92,-0.02
HSBC 21,Motor Vehicle,313703,LA22 JBX,LA22 JBX,Renault Traffic LL30 Sport Blue DC Van with Hydro Power Supplies,20 January 2023,48.0,20 January 2027,51256.28,10251.26,0.0,61507.54,50.0,29370.8,51256.28,4669.68,,275400.92,-0.02
HSBC 21,Motor Vehicle,313703,LB71 XGS,LB71 XGS,Renault Traffic LL30 Sport Blue DC Van with Hydro Power Supplies,20 January 2023,48.0,20 January 2027,51256.28,10251.26,0.0,61507.54,50.0,29370.8,51256.28,4669.68,,275400.92,-0.02
HSBC 21,Motor Vehicle,313693,YF72 PNZ,YF72 PNZ,Renault traffic SL28 DCI 130 Bus,19 January 2023,48.0,19 January 2027,26486.0,5297.2,345.0,32128.2,50.0,15375.32,26555.0,2444.44,,143888.12,0.0
HSBC 21,Motor Vehicle,313693,YF72 PSX,YF72 PSX,Renault traffic SL28 DCI 130 Bus,19 January 2023,48.0,19 January 2027,26486.0,5297.2,345.0,32128.2,50.0,15375.32,26555.0,2444.44,,143888.12,0.0
HSBC 21,Motor Vehicle,313693,YF72 PSZ,YF72 PSZ,Renault traffic SL28 DCI 130 Bus,19 January 2023,48.0,19 January 2027,26486.0,5297.2,345.0,32128.2,50.0,15375.32,26555.0,2444.44,,143888.12,0.0
HSBC 21,Motor Vehicle,313693,YF72 TTE,YF72 TTE,Renault traffic SL28 DCI 130 Bus,19 January 2023,48.0,19 January 2027,26486.0,5297.2,345.0,32128.2,50.0,15375.32,26555.0,2444.44,,143888.12,0.0
